"";"TOT_EMP";"H_MEAN";"A_MEAN";"H_PCT10";"H_PCT25";"H_MEDIAN";"H_PCT75";"H_PCT90";"A_PCT10";"A_PCT25";"A_MEDIAN";"A_PCT75";"A_PCT90"
"Miscellaneous Health Practitioners and Technical Workers";65420;25,54;53120;12,82;16,79;22,53;31,66;43,83;26670;34920;46860;65850;91160
"Athletic Trainers";22400;NA;45730;NA;NA;NA;NA;NA;27610;34950;43370;53900;67070
"Genetic Counselors";2180;33,43;69540;21,13;26,59;32,45;39,78;48,07;43950;55310;67500;82750;99980
"Healthcare Practitioners and Technical Workers, All Other";40840;27,07;56300;12,53;16,49;23,76;35,48;47,38;26050;34300;49430;73800;98540
"Healthcare Support Occupations";3940500;13,86;28820;8,89;10,33;12,71;16,22;20,52;18480;21480;26440;33730;42690
"Nursing, Psychiatric, and Home Health Aides";2352100;12,03;25020;8,53;9,72;11,33;13,84;16,83;17750;20220;23570;28780;35000
"Home Health Aides";799080;10,77;22400;8,19;8,95;10,28;11,69;14,21;17040;18610;21380;24320;29560
"Psychiatric Aides";72860;13,67;28430;9,02;10,8;12,61;15,87;20,34;18760;22460;26220;33000;42310
"Nursing Assistants";1427740;12,62;26250;9,03;10,26;12,07;14,43;17,39;18790;21340;25100;30020;36170
"Orderlies";52420;12,82;26670;8,71;9,99;11,85;14,71;18,13;18110;20790;24650;30600;37710
"Occupational Therapy and Physical Therapist Assistants and Aides";166440;21,87;45500;10,19;13,18;21,54;28,93;35,03;21200;27410;44810;60180;72870
"Occupational Therapy Assistants and Aides";40800;24,68;51330;11,96;17,5;25,14;31,32;36,19;24880;36400;52300;65140;75270
"Occupational Therapy Assistants";32230;27,53;57260;17,51;22,2;27,38;32,91;36,92;36420;46170;56950;68450;76790
"Occupational Therapy Aides";8570;13,96;29040;8,81;9,98;12,76;15,88;21,27;18330;20750;26550;33030;44240
"Physical Therapist Assistants and Aides";125640;20,96;43600;10;12,39;20,02;28,08;34,45;20810;25780;41640;58410;71650
"Physical Therapist Assistants";76910;26,12;54330;15,31;20,81;26,16;31,59;36,31;31840;43280;54410;65710;75530
"Physical Therapist Aides";48730;12,82;26660;8,83;10,1;11,85;14,36;17,71;18370;21020;24650;29870;36830
"Other Healthcare Support Occupations";1421960;15,94;33160;10,12;12,35;15,17;18,42;22,73;21040;25700;31540;38310;47270
"Massage Therapists";87670;20,09;41790;8,88;12,06;17,88;26,02;34,59;18460;25090;37180;54120;71950
"Miscellaneous Healthcare Support Occupations";1334290;15,67;32590;10,2;12,36;15,04;18,23;22,25;21220;25710;31290;37920;46270
"Dental Assistants";314330;17,43;36260;11,82;14,07;17,02;20,58;23,82;24580;29260;35390;42810;49540
"Medical Assistants";584970;15,01;31220;10,36;12,26;14,41;17,34;20,56;21540;25500;29960;36070;42760
"Medical Equipment Preparers";50550;16,28;33850;10,72;12,76;15,51;18,63;23,07;22290;26540;32260;38750;47980
"Medical Transcriptionists";61210;17,11;35580;10,68;13,45;16,71;20,36;23,7;22220;27970;34750;42340;49290
"Pharmacy Aides";41240;12,28;25540;8,39;9,35;11,15;14,03;18,23;17440;19440;23200;29180;37930
"Veterinary Assistants and Laboratory Animal Caretakers";71060;12,2;25370;8,41;9,5;11,44;14,06;17,41;17500;19750;23790;29240;36200
"Phlebotomists";111950;15,33;31890;10,65;12,48;14,74;17,67;21,06;22150;25960;30670;36750;43800
"Healthcare Support Workers, All Other";98980;17,04;35440;10,18;12,9;16,64;20,58;24,48;21170;26820;34620;42810;50910
"Protective Service Occupations";3297180;21,14;43980;9,18;11,79;17,88;27,54;38,64;19090;24510;37180;57270;80360
"Supervisors of Protective Service Workers";273750;33,37;69400;16,97;22,48;31,29;42,41;54,22;35290;46770;65080;88220;112780
"First-Line Supervisors of Law Enforcement Workers";146560;37,18;77340;19,88;25,84;35,4;45,92;57,84;41360;53750;73630;95510;120300
"First-Line Supervisors of Correctional Officers";45150;29,71;61790;17,83;20,73;27,87;37,27;44,94;37090;43120;57970;77520;93470
"First-Line Supervisors of Police and Detectives";101420;40,51;84260;22,94;29,56;38,91;50,07;62,01;47720;61480;80930;104150;128970
"First-Line Supervisors of Fire Fighting and Prevention Workers";59870;35,36;73550;20,16;26,24;33,98;43,71;54,05;41930;54570;70670;90920;112420
"Miscellaneous First-Line Supervisors, Protective Service Workers";67310;23,29;48440;12,7;16,4;22,03;28,12;35,97;26420;34120;45830;58500;74810
"First-Line Supervisors of Protective Service Workers, All Other";67310;23,29;48440;12,7;16,4;22,03;28,12;35,97;26420;34120;45830;58500;74810
"Fire Fighting and Prevention Workers";321790;23,6;49080;10,75;15,24;22,27;29,99;39,36;22350;31690;46320;62390;81870
"Firefighters";308790;23,44;48750;10,64;15,07;22,1;29,78;39,16;22130;31340;45970;61950;81450
"Fire Inspectors";13000;27,41;57010;15,02;19,57;25,97;34,41;42,77;31230;40700;54020;71570;88970
"Fire Inspectors and Investigators";11370;28,36;58980;16,35;20,67;26,99;35,12;43,43;34010;42990;56130;73050;90330
"Forest Fire Inspectors and Prevention Specialists";1630;20,78;43230;11,8;13,9;17,52;25,73;35,6;24550;28920;36430;53510;74050
"Law Enforcement Workers";1216140;26,81;55770;14,22;17,88;24,57;34,16;43,51;29590;37190;51100;71050;90510
"Bailiffs, Correctional Officers, and Jailers";450730;21,55;44820;13,1;15,53;19,08;26,77;34,94;27250;32310;39700;55670;72670
"Bailiffs";16310;20,36;42360;9,92;13,65;18,34;26,98;34,12;20630;28390;38150;56120;70970
"Correctional Officers and Jailers";434420;21,59;44910;13,12;15,57;19,12;26,76;34,99;27280;32390;39780;55670;72790
"Detectives and Criminal Investigators";108720;38,72;80540;19,61;25,62;38,4;49,01;61,25;40780;53280;79870;101940;127400
"Fish and Game Wardens";5820;25,61;53260;15,7;19,57;24,46;29,96;36,39;32660;40700;50880;62320;75690
"Parking Enforcement Workers";8680;18,15;37750;10,6;13,38;17,58;22,56;27,02;22040;27830;36570;46930;56200
"Police Officers";642190;28,62;59530;15,88;20,32;27,29;35,97;44,42;33030;42260;56770;74820;92400
"Police and Sheriff's Patrol Officers";638810;28,64;59560;15,88;20,32;27,31;36;44,45;33030;42260;56810;74870;92450
"Transit and Railroad Police";3380;25,56;53170;16;20,24;24,85;29,71;37,51;33280;42100;51690;61790;78020
"Other Protective Service Workers";1485490;13,72;28530;8,46;9,5;11,82;16,36;21,58;17590;19760;24590;34040;44890
"Animal Control Workers";13450;16,52;34370;9,8;12,4;15,65;19,72;24,82;20390;25800;32560;41010;51630
"Private Detectives and Investigators";26880;25,43;52880;12,98;16,6;21,43;30,47;41,13;27000;34530;44570;63370;85560
"Security Guards and Gaming Surveillance Officers";1087550;13,5;28080;8,53;9,66;11,76;15,73;21,27;17730;20090;24470;32730;44250
"Gaming Surveillance Officers and Gaming Investigators";10030;15,52;32290;10,02;12,08;14,35;18,18;22,95;20850;25120;29840;37810;47740
"Security Guards";1077520;13,48;28040;8,52;9,64;11,74;15,7;21,25;17720;20060;24410;32650;44200
"Miscellaneous Protective Service Workers";357610;13,39;27850;8,26;9,04;11,47;16,82;20,69;17170;18790;23850;34980;43030
"Crossing Guards";66310;13;27040;8,42;9,35;11,9;15,42;18,53;17520;19440;24750;32060;38540
"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers";135070;10,11;21030;7,91;8,44;9,18;11;14,09;16460;17560;19090;22880;29300
"Transportation Security Screeners";43220;18,56;38600;15,75;17,05;18,31;19,75;21,9;32770;35470;38090;41090;45560
"Protective Service Workers, All Other";113020;15,56;32360;8,73;10,28;13,67;18,48;25,87;18160;21380;28440;38450;53810
"Food Preparation and Serving Related Occupations";12277720;10,57;21980;7,97;8,48;9,2;11,38;15,12;16580;17630;19130;23660;31440
"Supervisors of Food Preparation and Serving Workers";985470;16,36;34030;9,55;11,29;14,66;19,86;25,8;19860;23480;30500;41300;53650
"Chefs and Head Cooks";118130;22,06;45880;11,13;14,73;20,01;27,32;35,44;23140;30630;41610;56820;73720
"First-Line Supervisors of Food Preparation and Serving Workers";867340;15,58;32420;9,46;11,08;14,21;18,76;23,78;19680;23040;29560;39030;49470
"Cooks and Food Preparation Workers";3077690;10,73;22310;8,08;8,72;9,93;12,11;14,64;16800;18140;20660;25190;30440
"Cooks";2227470;10,91;22680;8,09;8,78;10,16;12,45;14,82;16830;18260;21120;25900;30830
"Cooks, Fast Food";519910;9,15;19030;7,83;8,33;8,91;9,62;11,39;16290;17320;18540;20000;23680
"Cooks, Institution and Cafeteria";402800;12;24970;8,2;9,22;11,27;14,04;17,36;17070;19180;23440;29200;36100
"Cooks, Private Household";560;13,22;27500;8,49;9,73;11,03;15,61;18,12;17660;20240;22940;32460;37700
"Cooks, Restaurant";1104790;11,4;23700;8,29;9,2;10,81;13,1;15,35;17240;19130;22490;27250;31940
"Cooks, Short Order";180800;10,3;21430;7,99;8,63;9,71;11,46;13,9;16610;17940;20190;23830;28910
"Cooks, All Other";18600;12,88;26780;8,46;9,52;12,01;14,87;18,25;17590;19800;24970;30940;37960
"Food Preparation Workers";850220;10,26;21340;8,04;8,6;9,4;11,41;14,09;16730;17890;19560;23740;29300
"Food and Beverage Serving Workers";6883630;9,85;20480;7,89;8,35;8,96;10,13;13,47;16400;17360;18630;21060;28020
"Bartenders";579700;10,88;22620;7,98;8,48;9,16;11,55;16,79;16610;17630;19050;24020;34920
"Fast Food and Counter Workers";3607860;9,23;19210;7,85;8,3;8,87;9,49;11,53;16320;17260;18450;19740;23990
"Combined Food Preparation and Serving Workers, Including Fast Food";3131390;9,19;19110;7,83;8,28;8,85;9,44;11,46;16290;17220;18410;19640;23840
"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop";476470;9,53;19820;7,95;8,4;9,01;10,18;12,25;16530;17480;18740;21170;25470
"Waiters and Waitresses";2445230;10,4;21640;7,92;8,38;9,01;10,74;15,35;16470;17430;18730;22340;31930
"Food Servers, Nonrestaurant";250840;10,82;22510;8,05;8,63;9,57;11,72;15,44;16750;17950;19900;24380;32110
"Other Food Preparation and Serving Related Workers";1330930;9,65;20070;7,95;8,41;9,03;10,31;12,53;16530;17490;18780;21450;26070
"Dining Room and Cafeteria Attendants and Bartender Helpers";410460;9,86;20510;7,98;8,42;9,02;10,33;13,48;16600;17510;18760;21490;28030
"Dishwashers";502280;9,4;19540;7,95;8,41;9,03;10,13;11,53;16540;17490;18780;21070;23980
"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop";372670;9,59;19940;7,88;8,36;9;10,32;12,65;16400;17400;18720;21460;26300
"Miscellaneous Food Preparation and Serving Related Workers";45520;11,09;23060;8,09;8,71;9,86;12,8;16,5;16820;18110;20510;26630;34320
"Food Preparation and Serving Related Workers, All Other";45520;11,09;23060;8,09;8,71;9,86;12,8;16,5;16820;18110;20510;26630;34320
"Building and Grounds Cleaning and Maintenance Occupations";4371450;12,68;26370;8,27;9,12;11,19;14,76;19,5;17200;18970;23270;30700;40560
"Supervisors of Building and Grounds Cleaning and Maintenance Workers";270150;20,05;41700;11,45;14,28;18,56;24,36;30,96;23810;29710;38600;50670;64400
"First-Line Supervisors of Building and Grounds Cleaning and Maintenance Workers";270150;20,05;41700;11,45;14,28;18,56;24,36;30,96;23810;29710;38600;50670;64400
"First-Line Supervisors of Housekeeping and Janitorial Workers";168960;18,8;39110;10,74;13,38;17,44;22,8;29,02;22340;27830;36270;47420;60370
"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers";101190;22,13;46020;12,98;16,13;20,75;26,93;33,98;26990;33550;43160;56010;70680
"Building Cleaning and Pest Control Workers";3150530;11,91;24760;8,16;8,9;10,64;13,92;18,02;16980;18510;22130;28960;37480
"Building Cleaning Workers";3082890;11,82;24590;8,15;8,88;10,57;13,8;17,89;16960;18470;21990;28690;37210
"Janitors and Cleaners, Except Maids and Housekeeping Cleaners";2137730;12,24;25460;8,23;9,03;10,98;14,38;18,46;17110;18780;22840;29900;38400
"Maids and Housekeeping Cleaners";929540;10,82;22500;8,03;8,63;9,67;11,79;15,74;16700;17950;20120;24520;32730
"Building Cleaning Workers, All Other";15620;14,39;29920;9,33;11,03;13,67;17,13;20,95;19400;22950;28440;35620;43580
"Pest Control Workers";67640;15,8;32850;9,67;12,01;14,74;18,47;23,37;20100;24990;30660;38420;48600
"Grounds Maintenance Workers";950780;13,15;27350;8,62;9,86;11,93;15,24;19,38;17930;20510;24810;31700;40300
"Landscaping and Groundskeeping Workers";868770;12,85;26720;8,57;9,76;11,68;14,73;18,57;17830;20300;24290;30650;38620
"Pesticide Handlers, Sprayers, and Applicators, Vegetation";23790;15,9;33070;10,48;12,58;15,02;18,2;22,61;21790;26170;31240;37860;47020
"Tree Trimmers and Pruners";39640;16,9;35150;10,13;12,55;15,85;20,56;25,84;21070;26110;32960;42770;53750
"Grounds Maintenance Workers, All Other";18570;15,7;32660;8,81;10,32;13,85;19,83;26,35;18320;21460;28800;41250;54810
"Personal Care and Service Occupations";4154360;12,01;24980;8,09;8,78;10,22;13,26;18,48;16840;18250;21260;27580;38440
"Supervisors of Personal Care and Service Workers";193090;19,02;39560;10,71;13,41;17,56;23,16;29,34;22280;27890;36520;48180;61030
"First-Line Supervisors of Gaming Workers";31100;22,32;46430;11,88;16,36;22,01;27,77;33,56;24700;34030;45780;57770;69810
"Gaming Supervisors";24100;23,88;49660;14,26;18,4;23,76;28,76;34,51;29670;38280;49420;59810;71790
"Slot Supervisors";7000;16,96;35270;9,73;11,61;16;21,03;26,63;20250;24160;33270;43740;55380
"First-Line Supervisors of Personal Service Workers";161990;18,38;38240;10,59;13,11;16,95;22,2;28,48;22030;27260;35250;46180;59230
"Animal Care and Service Workers";172990;11,34;23580;8,07;8,7;9,91;12,43;17,12;16790;18090;20610;25860;35620
"Animal Trainers";11170;15,58;32400;8,49;9,71;12,39;19,33;27,48;17650;20190;25770;40220;57160
"Nonfarm Animal Caretakers";161820;11,04;22970;8,06;8,66;9,78;12,05;16,29;16750;18020;20340;25060;33880
"Entertainment Attendants and Related Workers";560350;10,33;21490;7,96;8,44;9,12;11;14,6;16550;17560;18960;22890;30370
"Gaming Services Workers";124440;10,7;22250;7,9;8,43;9,09;11,32;16,94;16440;17520;18920;23540;35230
"Gaming Dealers";96060;10,11;21040;7,84;8,33;8,93;9,5;15,5;16300;17330;18560;19750;32230
"Gaming and Sports Book Writers and Runners";12160;12,33;25650;8,13;8,93;10,85;14,32;19,34;16900;18580;22560;29780;40220
"Gaming Service Workers, All Other";16220;12,93;26890;8,4;9,31;11,65;15,09;18,38;17480;19370;24240;31380;38230
"Motion Picture Projectionists";6290;11,18;23260;8,15;8,78;10,02;12,53;16,28;16950;18260;20830;26070;33860
"Ushers, Lobby Attendants, and Ticket Takers";113700;9,87;20530;7,91;8,38;9,02;10,5;13,68;16450;17440;18760;21850;28450
"Miscellaneous Entertainment Attendants and Related Workers";315910;10,34;21500;7,99;8,46;9,15;11,06;14,3;16610;17600;19040;23000;29730
"Amusement and Recreation Attendants";274230;9,9;20590;7,96;8,42;9,08;10,68;13,55;16570;17520;18880;22210;28190
"Costume Attendants";6270;24,17;50270;9,09;12,31;20,03;31,96;39,12;18900;25610;41670;66470;81370
"Locker Room, Coatroom, and Dressing Room Attendants";17830;11,05;22980;8,13;8,68;9,59;12,56;16,39;16910;18050;19940;26120;34080
"Entertainment Attendants and Related Workers, All Other";17580;11,5;23930;8,14;9,04;10,79;13,29;16,19;16930;18800;22440;27630;33670
"Funeral Service Workers";63770;17,6;36610;8,81;10,49;14,3;21,84;30,56;18320;21820;29730;45430;63560
"Embalmers";3650;20,24;42100;11,58;15,33;20,06;24,55;29,05;24080;31890;41720;51070;60430
"Funeral Attendants";34950;11,95;24860;8,33;9,37;11,1;13,86;17,38;17320;19490;23080;28840;36140
"Morticians, Undertakers, and Funeral Directors";25160;25,06;52130;12,46;17,01;22,72;30,19;40,16;25910;35390;47250;62790;83520
"Personal Appearance Workers";493840;13,19;27430;8,26;8,92;10,83;14,94;21,57;17180;18560;22520;31080;44870
"Barbers, Hairdressers, Hairstylists and Cosmetologists";357280;13,44;27960;8,26;8,99;11,15;15,51;22,03;17170;18700;23200;32270;45830
"Barbers";14140;13,67;28430;8,39;9,35;12,22;16,48;21,94;17460;19450;25410;34280;45640
"Hairdressers, Hairstylists, and Cosmetologists";343140;13,43;27940;8,25;8,98;11,12;15,47;22,04;17160;18680;23120;32170;45840
"Miscellaneous Personal Appearance Workers";136550;12,52;26040;8,27;8,8;10,01;13,76;19,96;17200;18300;20830;28620;41520
"Makeup Artists, Theatrical and Performance";2610;29,25;60830;9,03;12,2;21,3;42,7;55,3;18780;25370;44310;88820;115030
"Manicurists and Pedicurists";79090;10,82;22500;8,27;8,72;9,43;11,63;15,43;17200;18130;19620;24200;32100
"Shampooers";16560;9,37;19480;8,01;8,46;9,02;10,11;11,59;16660;17600;18760;21020;24110
"Skincare Specialists";38290;16,26;33810;8,5;9,75;13,97;19,96;28,31;17680;20280;29050;41510;58880
"Baggage Porters, Bellhops, and Concierges";75220;12,76;26530;8,3;9,11;11,44;14,98;19,6;17270;18950;23800;31170;40770
"Baggage Porters and Bellhops";44170;11,48;23880;8,15;8,73;10,06;13,31;17,04;16960;18160;20930;27690;35450
"Concierges";31050;14,57;30300;9,09;10,7;13,54;17,74;21,94;18900;22260;28170;36910;45630
"Tour and Travel Guides";38190;13,03;27100;8,31;9,19;11,82;15,28;18,99;17280;19120;24580;31780;39500
"Tour Guides and Escorts";35100;12,56;26120;8,27;9,11;11,51;14,7;18,17;17200;18940;23930;30570;37800
"Travel Guides";3090;18,39;38260;9,85;12,81;16,88;21,95;29,2;20490;26650;35100;45660;60730
"Other Personal Care and Service Workers";2556920;11,49;23890;8,06;8,76;10,14;12,36;16,89;16760;18230;21090;25710;35130
"Childcare Workers";582970;10,44;21710;7,97;8,56;9,48;11,64;14,46;16570;17800;19730;24210;30080
"Personal Care Aides";1257000;10,2;21210;7,97;8,66;9,83;11,27;13,42;16580;18000;20440;23450;27910
"Recreation and Fitness Workers";562110;15,22;31650;8,4;9,29;12,4;18,43;26,78;17470;19320;25800;38340;55710
"Fitness Trainers and Aerobics Instructors";241000;18,95;39410;8,71;10,84;16,82;24,48;32,48;18110;22540;34980;50920;67560
"Recreation Workers";321110;12,42;25830;8,27;9;10,88;14,32;18,86;17190;18720;22620;29800;39230
"Residential Advisors";95750;12,77;26560;8,41;9,64;11,7;14,81;18,54;17480;20060;24340;30800;38570
"Miscellaneous Personal Care and Service Workers";59090;11,67;24270;8,33;9,1;10,33;13,02;17,2;17320;18930;21500;27090;35770
"Personal Care and Service Workers, All Other";59090;11,67;24270;8,33;9,1;10,33;13,02;17,2;17320;18930;21500;27090;35770
"Sales and Related Occupations";14248470;18,59;38660;8,34;9,17;12,19;21,17;36,19;17340;19070;25360;44020;75280
"Supervisors of Sales Workers";1448550;23,74;49370;11,79;14,78;19,58;27,24;39,87;24530;30750;40720;56660;82940
"First-Line Supervisors of Sales Workers";1448550;23,74;49370;11,79;14,78;19,58;27,24;39,87;24530;30750;40720;56660;82940
"First-Line Supervisors of Retail Sales Workers";1199770;20,28;42190;11,35;14,08;18,2;23,52;30,53;23610;29290;37860;48920;63500
"First-Line Supervisors of Non-Retail Sales Workers";248770;40,39;84010;17,37;23,93;34,42;49,78;71,36;36130;49770;71600;103540;148430
"Retail Sales Workers";8648920;11,55;24020;8,1;8,69;9,66;12,43;17,44;16850;18070;20100;25860;36280
"Cashiers";3417910;9,94;20670;7,99;8,48;9,17;10,81;13,51;16610;17630;19070;22480;28110
"Gaming Change Persons and Booth Cashiers";19580;11,85;24640;8,34;9,33;11,22;13,95;16,85;17340;19410;23340;29010;35050
"Counter and Rental Clerks and Parts Salespersons";668850;14,06;29250;8,47;9,47;12,33;16,93;22,56;17630;19700;25640;35210;46920
"Counter and Rental Clerks";437610;13,25;27560;8,36;9,18;11,47;15,45;21,1;17400;19090;23860;32130;43890
"Parts Salespersons";231240;15,6;32450;8,9;10,73;14,15;18,84;24,4;18520;22320;29440;39180;50750
"Retail Salespersons";4562160;12,38;25760;8,19;8,85;10,29;13,54;18,89;17030;18400;21390;28170;39300
"Sales Representatives, Services";1736660;33,11;68870;12,37;16,73;24,72;39,01;64,19;25730;34790;51410;81140;133520
"Advertising Sales Agents";154220;29,28;60910;11,08;15,59;23,02;35,56;54,38;23050;32420;47890;73970;113120
"Insurance Sales Agents";374700;30,64;63730;12,36;16,2;23,01;35,41;57,68;25710;33700;47860;73650;119970
"Securities, Commodities, and Financial Services Sales Agents";316340;49,64;103260;15,46;19,03;34,65;68,16;90;32170;39570;72070;141780;187200
"Travel Agents";64750;18,14;37730;9,46;12,67;16,73;22,06;28,4;19680;26360;34800;45880;59070
"Miscellaneous Sales Representatives, Services";826650;29,79;61960;11,98;16,74;24,84;36,7;53,92;24910;34820;51670;76340;112160
"Sales Representatives, Services, All Other";826650;29,79;61960;11,98;16,74;24,84;36,7;53,92;24910;34820;51670;76340;112160
"Sales Representatives, Wholesale and Manufacturing";1730180;33,59;69860;13,53;19,2;28,07;41,41;59,38;28140;39940;58380;86140;123510
"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products";335540;41,71;86750;18;25,14;36,13;52,03;71,64;37430;52280;75140;108210;149010
"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products";1394640;31,63;65800;12,88;18,22;26,45;38,21;55,88;26790;37890;55020;79480;116230
"Other Sales and Related Workers";684170;21,92;45600;8,81;10,42;14,29;25,35;45,79;18320;21680;29730;52720;95240
"Models, Demonstrators, and Product Promoters";88740;13,96;29030;8,92;10,14;11,76;15,58;21,7;18560;21090;24460;32410;45130
"Demonstrators and Product Promoters";83600;13,83;28760;9,1;10,25;11,79;15,35;21,44;18920;21310;24520;31930;44590
"Models";5140;16,12;33530;8,13;8,69;9,6;19,25;23,86;16920;18070;19970;40040;49630
"Real Estate Brokers and Sales Agents";196380;29,06;60440;10,5;13,94;20,88;34,82;56,84;21840;28990;43430;72430;118230
"Real Estate Brokers";38720;38,66;80420;11,48;15,83;27,58;47,95;85,95;23880;32920;57360;99740;178770
"Real Estate Sales Agents";157660;26,7;55530;10,36;13,65;19,71;32,52;50,61;21540;28390;40990;67650;105270
"Sales Engineers";68080;50,32;104660;26,85;34,86;46,32;60,75;77,04;55850;72510;96340;126350;160250
"Telemarketers";234520;12,41;25800;8,33;9,15;10,93;14,07;18,27;17340;19040;22740;29270;37990
"Miscellaneous Sales and Related Workers";96440;17,81;37050;8,86;10,51;14,13;21,58;30,94;18420;21860;29390;44900;64340
"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers";7610;12,2;25380;8,3;9;10,35;13,29;19,61;17270;18730;21530;27640;40790
"Sales and Related Workers, All Other";88830;18,29;38050;8,97;10,82;14,5;22,18;31,84;18660;22510;30160;46140;66230
"Office and Administrative Support Occupations";21638470;17,08;35530;9,37;11,85;15,64;20,87;27,15;19480;24650;32520;43410;56460
"Supervisors of Office and Administrative Support Workers";1404070;26,15;54400;14,68;18,8;24,42;31,66;39,8;30530;39110;50780;65840;82790
"First-Line Supervisors of Office and Administrative Support Workers";1404070;26,15;54400;14,68;18,8;24,42;31,66;39,8;30530;39110;50780;65840;82790
"Communications Equipment Operators";121470;14,05;29220;9,07;10,58;13,05;16,37;20,64;18870;22000;27150;34040;42940
"Switchboard Operators, Including Answering Service";108890;13,46;28000;8,99;10,44;12,77;15,65;18,77;18710;21720;26550;32550;39030
"Telephone Operators";10220;18,92;39350;9,91;12,49;16,9;24,86;29,41;20610;25970;35140;51700;61180
"Miscellaneous Communications Equipment Operators";2370;20;41600;12,64;15,2;19,27;24,49;28,72;26290;31620;40080;50950;59750
"Communications Equipment Operators, All Other";2370;20;41600;12,64;15,2;19,27;24,49;28,72;26290;31620;40080;50950;59750
"Financial Clerks";3217850;17,2;35770;10,4;12,86;16,35;20,62;25,4;21630;26750;34000;42900;52820
"Bill and Account Collectors";346960;17,09;35540;10,69;13,03;16,2;19,86;24,58;22240;27100;33700;41320;51120
"Billing and Posting Clerks";490860;17,1;35560;11,58;13,63;16,54;19,8;23,49;24090;28350;34410;41180;48860
"Bookkeeping, Accounting, and Auditing Clerks";1575060;18,3;38070;10,81;13,88;17,51;21,98;27,15;22480;28860;36430;45730;56470
"Gaming Cage Workers";16350;13,25;27560;9,05;10,3;12,41;15,57;19,36;18830;21430;25810;32390;40270
"Payroll and Timekeeping Clerks";166400;19,67;40910;12,49;15,54;19,09;23,14;28,15;25970;32330;39700;48140;58550
"Procurement Clerks";70190;19,35;40240;12,24;15,41;19,2;22,81;26,74;25450;32060;39930;47440;55620
"Tellers";514520;12,81;26650;9,65;10,64;12,38;14,47;17,28;20070;22140;25760;30090;35950
"Miscellaneous Financial Clerks";37510;19,8;41180;12,32;15,33;18,86;23,08;28,26;25620;31880;39220;48000;58780
"Financial Clerks, All Other";37510;19,8;41180;12,32;15,33;18,86;23,08;28,26;25620;31880;39220;48000;58780
"Information and Record Clerks";5439370;15,8;32870;9,29;11,41;14,64;18,84;23,68;19310;23740;30450;39180;49250
"Brokerage Clerks";57240;24,1;50120;15,26;18,28;22,85;28,83;35,14;31740;38030;47520;59960;73100
"Correspondence Clerks";7580;17,42;36240;11,39;13,9;17,05;20,67;23,68;23690;28920;35460;42990;49250
"Court, Municipal, and License Clerks";128490;17,95;37340;11,3;13,58;17,05;21,27;25,64;23510;28250;35460;44250;53320
"Credit Authorizers, Checkers, and Clerks";46320;17,66;36730;11,75;13,48;16,61;21,05;26,02;24440;28050;34550;43770;54110
"Customer Service Representatives";2511130;16,29;33890;9,55;11,84;15;19,22;24,82;19860;24620;31200;39970;51630
"Eligibility Interviewers, Government Programs";122400;20,41;42460;14,18;16,3;20,29;23,74;27,37;29500;33910;42200;49370;56930
"File Clerks";148280;14,19;29510;8,87;10,45;13,26;17,11;21,28;18450;21730;27580;35580;44270
"Hotel, Motel, and Resort Desk Clerks";241140;10,67;22180;8,07;8,73;9,91;11,68;14,64;16780;18160;20610;24290;30460
"Interviewers, Except Eligibility and Loan";190710;15,5;32230;9,73;12,19;14,81;18,22;22,33;20240;25360;30790;37890;46450
"Library Assistants, Clerical";100800;12,51;26010;8,35;9,22;11,5;14,81;18,47;17370;19170;23910;30800;38420
"Loan Interviewers and Clerks";212440;18,33;38120;11,73;14,24;17,73;21,86;26,14;24400;29620;36880;45470;54370
"New Accounts Clerks";52260;16,77;34890;12,11;13,76;16,35;18,86;22,49;25200;28610;34000;39220;46790
"Order Clerks";190390;15,92;33110;9,34;11,58;14,99;19,11;23,7;19430;24100;31180;39750;49290
"Human Resources Assistants, Except Payroll and Timekeeping";135270;18,74;38980;12,06;14,95;18,29;22,19;26,43;25090;31090;38040;46160;54960
"Receptionists and Information Clerks";981150;13,38;27830;8,94;10,45;12,87;15,68;18,55;18600;21750;26760;32610;38590
"Reservation and Transportation Ticket Agents and Travel Clerks";138260;16,73;34790;9,79;11,59;16,11;21,57;24,82;20360;24110;33510;44860;51620
"Miscellaneous Information and Record Clerks";175530;18,46;38390;11,38;14,22;18,12;22,1;25,99;23670;29570;37700;45980;54050
"Information and Record Clerks, All Other";175530;18,46;38390;11,38;14,22;18,12;22,1;25,99;23670;29570;37700;45980;54050
"Material Recording, Scheduling, Dispatching, and Distributing Workers";3880030;15,93;33140;8,7;10,26;14,04;20,13;27,12;18090;21340;29210;41860;56420
"Cargo and Freight Agents";77480;21,14;43960;11,42;15,13;19,89;25,09;31,7;23760;31470;41380;52190;65930
"Couriers and Messengers";71760;13,63;28360;8,69;10,12;12,81;16,18;20,32;18070;21060;26640;33650;42260
"Dispatchers";286710;19,04;39610;10,84;13,74;17,77;22,89;28,96;22550;28570;36960;47620;60240
